variable,label,dtype,semantic_type,non_null,missing_pct,unique,min,max,example_values
ZONENURS,,float64,numeric,14974,6.5585,2,1.0,2.0,"2.0, 1.0"
POOLNURS,,float64,numeric,14662,8.5055,2,1.0,2.0,"1.0, 2.0"
SURGDAY,,float64,numeric,15011,6.3276,7,0.0,7.0,"5.0, 7.0"
BEDCZAR,,float64,numeric,15505,3.2449,2,1.0,2.0,1.0
BEDDATA,,float64,numeric,15494,3.3136,6,1.0,6.0,"1.0, 3.0, 4.0"
HLIST,,float64,numeric,15748,1.7285,2,1.0,2.0,1.0
HLISTED,,float64,numeric,14837,7.4134,2,1.0,2.0,"1.0, 2.0"
EMEDRES,,float64,numeric,15345,4.2434,2,1.0,2.0,"2.0, 1.0"
REGION,,float64,numeric,16025,0.0,4,1.0,4.0,1.0
MSA,,float64,numeric,16025,0.0,2,1.0,2.0,1.0
DRUGID1,,object,categorical/text,12391,22.6771,540,,,"d00141, d03809, d00049, d00089, d01461"
PRESCR1,,float64,numeric,12391,22.6771,4,1.0,5.0,"5.0, 1.0, 3.0, 2.0"
CONTSUB1,,float64,numeric,12391,22.6771,7,2.0,8.0,"6.0, 4.0, 7.0, 2.0, 8.0"
COMSTAT1,,float64,numeric,12391,22.6771,3,1.0,3.0,"1.0, 2.0, 3.0"
RX1CAT1,,float64,numeric,12391,22.6771,216,2.0,899.0,"94.0, 348.0, 59.0, 225.0, 368.0"
RX1CAT2,,float64,numeric,2952,81.5788,49,12.0,464.0,"110.0, 203.0, 129.0, 385.0, 123.0"
RX1CAT3,,float64,numeric,362,97.741,7,185.0,433.0,"197.0, 203.0, 433.0, 430.0, 204.0"
RX1CAT4,,float64,numeric,150,99.064,2,205.0,445.0,"205.0, 445.0"
RX1V1C1,,float64,numeric,12391,22.6771,21,1.0,899.0,"87.0, 57.0, 1.0, 331.0, 115.0"
RX1V1C2,,float64,numeric,2952,81.5788,15,1.0,358.0,"105.0, 57.0, 122.0, 40.0, 1.0"
RX1V1C3,,float64,numeric,362,97.741,4,40.0,105.0,"57.0, 40.0, 97.0, 105.0"
RX1V1C4,,float64,numeric,150,99.064,2,57.0,254.0,"57.0, 254.0"
RX1V2C1,,float64,numeric,12319,23.1264,120,2.0,999.0,"94.0, 64.0, 58.0, 13.0, 112.0"
RX1V2C2,,float64,numeric,2952,81.5788,38,5.0,460.0,"110.0, 64.0, 129.0, 46.0, 123.0"
RX1V2C3,,float64,numeric,362,97.741,6,64.0,433.0,"65.0, 64.0, 433.0, 430.0, 101.0"
RX1V2C4,,float64,numeric,150,99.064,2,66.0,104.0,"66.0, 104.0"
RX1V3C1,,float64,numeric,8386,47.6693,128,31.0,999.0,"348.0, 59.0, 225.0, 368.0, 61.0"
RX1V3C2,,float64,numeric,963,93.9906,27,102.0,464.0,"203.0, 385.0, 239.0, 198.0, 210.0"
RX1V3C3,,float64,numeric,319,98.0094,4,185.0,204.0,"197.0, 203.0, 204.0, 185.0"
RX1V3C4,,float64,numeric,150,99.064,2,205.0,445.0,"205.0, 445.0"
DRUGID2,,object,categorical/text,9140,42.9641,530,,,"d00438, d06663, d01231, d00255, d00468"
PRESCR2,,float64,numeric,9140,42.9641,4,1.0,5.0,"5.0, 1.0, 3.0, 2.0"
CONTSUB2,,float64,numeric,9140,42.9641,7,2.0,8.0,"6.0, 2.0, 7.0, 4.0, 8.0"
COMSTAT2,,float64,numeric,9140,42.9641,3,1.0,3.0,"1.0, 3.0, 2.0"
RX2CAT1,,float64,numeric,9140,42.9641,205,2.0,899.0,"117.0, 71.0, 135.0, 60.0, 95.0"
RX2CAT2,,float64,numeric,1932,87.9438,52,12.0,519.0,"129.0, 146.0, 117.0, 198.0, 211.0"
RX2CAT3,,float64,numeric,280,98.2527,8,185.0,433.0,"204.0, 433.0, 197.0, 203.0, 185.0"
RX2CAT4,,float64,numeric,127,99.2075,3,205.0,445.0,"205.0, 433.0, 445.0"
RX2V1C1,,float64,numeric,9140,42.9641,21,1.0,899.0,"115.0, 57.0, 133.0, 87.0, 1.0"
RX2V1C2,,float64,numeric,1932,87.9438,15,1.0,358.0,"122.0, 133.0, 115.0, 57.0, 81.0"
RX2V1C3,,float64,numeric,280,98.2527,6,40.0,331.0,"57.0, 40.0, 97.0, 331.0, 113.0"
RX2V1C4,,float64,numeric,127,99.2075,3,40.0,254.0,"57.0, 40.0, 254.0"
RX2V2C1,,float64,numeric,9077,43.3573,111,2.0,999.0,"117.0, 71.0, 135.0, 58.0, 95.0"
RX2V2C2,,float64,numeric,1932,87.9438,40,5.0,519.0,"129.0, 146.0, 117.0, 65.0, 83.0"
RX2V2C3,,float64,numeric,280,98.2527,7,64.0,433.0,"64.0, 433.0, 65.0, 101.0, 332.0"
RX2V2C4,,float64,numeric,127,99.2075,3,66.0,433.0,"66.0, 433.0, 104.0"
RX2V3C1,,float64,numeric,6215,61.2168,125,31.0,999.0,"60.0, 159.0, 61.0, 59.0, 62.0"
RX2V3C2,,float64,numeric,783,95.1139,27,102.0,461.0,"198.0, 211.0, 239.0, 203.0, 180.0"
RX2V3C3,,float64,numeric,240,98.5023,5,185.0,374.0,"204.0, 197.0, 203.0, 185.0, 374.0"
RX2V3C4,,float64,numeric,126,99.2137,2,205.0,445.0,"205.0, 445.0"
DRUGID3,,object,categorical/text,6316,60.5866,502,,,"d00273, d04812, d00880, d00438, d00212"
PRESCR3,,float64,numeric,6316,60.5866,4,1.0,5.0,"1.0, 5.0, 2.0, 3.0"
CONTSUB3,,float64,numeric,6316,60.5866,7,2.0,8.0,"6.0, 7.0, 2.0, 4.0, 5.0"
COMSTAT3,,float64,numeric,6316,60.5866,3,1.0,3.0,"1.0, 2.0, 3.0"
RX3CAT1,,float64,numeric,6316,60.5866,195,2.0,899.0,"61.0, 208.0, 117.0, 70.0, 214.0"
RX3CAT2,,float64,numeric,1400,91.2637,52,12.0,519.0,"129.0, 123.0, 340.0, 385.0, 211.0"
RX3CAT3,,float64,numeric,239,98.5086,7,185.0,433.0,"197.0, 203.0, 433.0, 265.0, 204.0"
RX3V1C1,,float64,numeric,6316,60.5866,20,1.0,899.0,"57.0, 242.0, 115.0, 358.0, 81.0"
RX3V1C2,,float64,numeric,1400,91.2637,14,1.0,358.0,"122.0, 40.0, 81.0, 57.0, 1.0"
RX3V1C3,,float64,numeric,239,98.5086,4,40.0,113.0,"57.0, 40.0, 113.0, 97.0"
RX3V2C1,,float64,numeric,6288,60.7613,109,2.0,999.0,"58.0, 249.0, 117.0, 67.0, 99.0"
RX3V2C2,,float64,numeric,1400,91.2637,40,5.0,519.0,"129.0, 123.0, 340.0, 46.0, 83.0"
RX3V2C3,,float64,numeric,239,98.5086,6,64.0,433.0,"65.0, 64.0, 433.0, 265.0, 430.0"
RX3V3C1,,float64,numeric,4150,74.103,120,31.0,999.0,"61.0, 208.0, 70.0, 214.0, 211.0"
RX3V3C2,,float64,numeric,552,96.5554,27,102.0,461.0,"385.0, 211.0, 203.0, 351.0, 239.0"
RX3V3C3,,float64,numeric,215,98.6583,4,185.0,204.0,"197.0, 203.0, 204.0, 185.0"
DRUGID4,,object,categorical/text,4254,73.454,456,,,"d00867, d00015, d00241, d00746, d00223"
PRESCR4,,float64,numeric,4254,73.454,4,1.0,5.0,"1.0, 5.0, 2.0, 3.0"
CONTSUB4,,float64,numeric,4254,73.454,7,2.0,8.0,"6.0, 8.0, 4.0, 2.0, 7.0"
COMSTAT4,,float64,numeric,4254,73.454,3,1.0,3.0,"1.0, 2.0, 3.0"
RX4CAT1,,float64,numeric,4254,73.454,193,2.0,899.0,"195.0, 61.0, 119.0, 173.0, 36.0"
RX4CAT2,,float64,numeric,896,94.4087,44,12.0,488.0,"53.0, 117.0, 385.0, 198.0, 211.0"
RX4CAT3,,float64,numeric,149,99.0702,7,197.0,433.0,"204.0, 203.0, 197.0, 433.0, 430.0"
RX4CAT4,,float64,numeric,65,99.5944,2,205.0,433.0,"205.0, 433.0"
RX4V1C1,,float64,numeric,4254,73.454,21,1.0,899.0,"57.0, 115.0, 358.0, 28.0, 87.0"
RX4V1C2,,float64,numeric,896,94.4087,14,1.0,358.0,"40.0, 115.0, 57.0, 81.0, 133.0"
RX4V1C3,,float64,numeric,149,99.0702,4,40.0,331.0,"57.0, 40.0, 113.0, 331.0"
RX4V1C4,,float64,numeric,65,99.5944,2,40.0,57.0,"57.0, 40.0"
RX4V2C1,,float64,numeric,4233,73.585,112,2.0,999.0,"65.0, 58.0, 119.0, 19.0, 36.0"
RX4V2C2,,float64,numeric,896,94.4087,35,5.0,488.0,"53.0, 117.0, 46.0, 65.0, 83.0"
RX4V2C3,,float64,numeric,149,99.0702,6,64.0,433.0,"64.0, 65.0, 433.0, 430.0, 265.0"
RX4V2C4,,float64,numeric,65,99.5944,2,66.0,433.0,"66.0, 433.0"
RX4V3C1,,float64,numeric,2712,83.0764,113,31.0,999.0,"195.0, 61.0, 173.0, 59.0, 368.0"
RX4V3C2,,float64,numeric,373,97.6724,23,180.0,461.0,"385.0, 198.0, 211.0, 386.0, 292.0"
RX4V3C3,,float64,numeric,126,99.2137,4,197.0,374.0,"204.0, 203.0, 197.0, 374.0"
DRUGID5,,object,categorical/text,2876,82.053,415,,,"d00049, d00867, d00859, d00039, d00132"
PRESCR5,,float64,numeric,2876,82.053,4,1.0,5.0,"5.0, 1.0, 3.0, 2.0"
CONTSUB5,,float64,numeric,2876,82.053,7,2.0,8.0,"6.0, 2.0, 4.0, 7.0, 3.0"
COMSTAT5,,float64,numeric,2876,82.053,3,1.0,3.0,"1.0, 2.0, 3.0"
RX5CAT1,,float64,numeric,2876,82.053,190,2.0,519.0,"59.0, 195.0, 197.0, 61.0, 53.0"
RX5CAT2,,float64,numeric,562,96.493,40,12.0,450.0,"146.0, 117.0, 198.0, 386.0, 129.0"
RX5CAT3,,float64,numeric,102,99.3635,6,197.0,433.0,"204.0, 203.0, 433.0, 197.0, 265.0"
RX5CAT4,,float64,numeric,30,99.8128,2,205.0,445.0,"205.0, 445.0"
RX5V1C1,,float64,numeric,2876,82.053,19,1.0,365.0,"57.0, 40.0, 242.0, 1.0, 133.0"
RX5V1C2,,float64,numeric,562,96.493,13,1.0,358.0,"133.0, 115.0, 57.0, 40.0, 122.0"
RX5V1C3,,float64,numeric,102,99.3635,4,40.0,113.0,"57.0, 40.0, 113.0, 105.0"
RX5V1C4,,float64,numeric,30,99.8128,2,57.0,254.0,"57.0, 254.0"
RX5V2C1,,float64,numeric,2856,82.1778,111,2.0,519.0,"58.0, 65.0, 53.0, 249.0, 9.0"
RX5V2C2,,float64,numeric,562,96.493,32,5.0,433.0,"146.0, 117.0, 65.0, 46.0, 129.0"
RX5V2C3,,float64,numeric,102,99.3635,5,64.0,433.0,"64.0, 433.0, 65.0, 265.0, 270.0"
RX5V2C4,,float64,numeric,30,99.8128,2,66.0,104.0,"66.0, 104.0"
RX5V3C1,,float64,numeric,1758,89.0296,114,38.0,999.0,"59.0, 195.0, 197.0, 61.0, 208.0"
RX5V3C2,,float64,numeric,221,98.6209,19,180.0,450.0,"198.0, 386.0, 385.0, 180.0, 203.0"
RX5V3C3,,float64,numeric,84,99.4758,3,197.0,204.0,"204.0, 203.0, 197.0"
RX5V3C4,,float64,numeric,30,99.8128,2,205.0,445.0,"205.0, 445.0"
DRUGID6,,object,categorical/text,1994,87.5569,390,,,"d01461, d04121, d00019, d00255, d04017"
PRESCR6,,float64,numeric,1994,87.5569,4,1.0,5.0,"1.0, 5.0, 3.0, 2.0"
CONTSUB6,,float64,numeric,1994,87.5569,7,2.0,8.0,"6.0, 2.0, 7.0, 4.0, 3.0"
COMSTAT6,,float64,numeric,1994,87.5569,3,1.0,3.0,"1.0, 2.0, 3.0"
RX6CAT1,,float64,numeric,1994,87.5569,180,2.0,899.0,"368.0, 519.0, 61.0, 60.0, 164.0"
RX6CAT2,,float64,numeric,378,97.6412,45,12.0,519.0,"186.0, 129.0, 117.0, 123.0, 378.0"
RX6CAT3,,float64,numeric,73,99.5445,7,197.0,433.0,"204.0, 197.0, 203.0, 433.0, 270.0"
RX6CAT4,,float64,numeric,25,99.844,2,205.0,445.0,"205.0, 445.0"
RX6V1C1,,float64,numeric,1994,87.5569,20,1.0,899.0,"331.0, 113.0, 57.0, 133.0, 105.0"
RX6V1C2,,float64,numeric,378,97.6412,14,1.0,358.0,"97.0, 122.0, 115.0, 57.0, 40.0"
RX6V1C3,,float64,numeric,73,99.5445,4,40.0,113.0,"57.0, 40.0, 105.0, 113.0"
RX6V1C4,,float64,numeric,25,99.844,2,57.0,254.0,"57.0, 254.0"
RX6V2C1,,float64,numeric,1981,87.6381,105,2.0,999.0,"112.0, 519.0, 58.0, 147.0, 192.0"
RX6V2C2,,float64,numeric,378,97.6412,37,5.0,519.0,"101.0, 129.0, 117.0, 123.0, 378.0"
RX6V2C3,,float64,numeric,73,99.5445,6,64.0,433.0,"64.0, 65.0, 433.0, 270.0, 265.0"
RX6V2C4,,float64,numeric,25,99.844,2,66.0,104.0,"66.0, 104.0"
RX6V3C1,,float64,numeric,1199,92.5179,107,31.0,502.0,"368.0, 61.0, 60.0, 164.0, 225.0"
RX6V3C2,,float64,numeric,168,98.9516,20,174.0,389.0,"186.0, 198.0, 290.0, 388.0, 239.0"
RX6V3C3,,float64,numeric,56,99.6505,3,197.0,204.0,"204.0, 197.0, 203.0"
RX6V3C4,,float64,numeric,25,99.844,2,205.0,445.0,"205.0, 445.0"
DRUGID7,,object,categorical/text,1455,90.9204,344,,,"d00141, d00329, d00321, d04514, d00438"
PRESCR7,,float64,numeric,1455,90.9204,4,1.0,5.0,"5.0, 1.0, 2.0, 3.0"
CONTSUB7,,float64,numeric,1455,90.9204,7,2.0,8.0,"6.0, 2.0, 4.0, 7.0, 3.0"
COMSTAT7,,float64,numeric,1455,90.9204,3,1.0,3.0,"1.0, 2.0, 3.0"
RX7CAT1,,float64,numeric,1455,90.9204,163,2.0,519.0,"94.0, 60.0, 45.0, 272.0, 117.0"
RX7CAT2,,float64,numeric,266,98.3401,40,12.0,461.0,"53.0, 129.0, 12.0, 117.0, 211.0"
RX7CAT3,,float64,numeric,48,99.7005,6,197.0,433.0,"204.0, 203.0, 197.0, 433.0, 265.0"
RX7CAT4,,float64,numeric,13,99.9189,2,205.0,445.0,"205.0, 445.0"
RX7V1C1,,float64,numeric,1455,90.9204,18,1.0,365.0,"87.0, 57.0, 40.0, 115.0, 242.0"
RX7V1C2,,float64,numeric,266,98.3401,14,1.0,358.0,"40.0, 122.0, 1.0, 115.0, 81.0"
RX7V1C3,,float64,numeric,48,99.7005,4,40.0,113.0,"57.0, 40.0, 113.0, 105.0"
RX7V1C4,,float64,numeric,13,99.9189,2,57.0,254.0,"57.0, 254.0"
RX7V2C1,,float64,numeric,1449,90.9579,101,2.0,999.0,"94.0, 58.0, 45.0, 272.0, 117.0"
RX7V2C2,,float64,numeric,266,98.3401,31,5.0,423.0,"53.0, 129.0, 12.0, 117.0, 83.0"
RX7V2C3,,float64,numeric,48,99.7005,5,64.0,433.0,"64.0, 65.0, 433.0, 265.0, 270.0"
RX7V2C4,,float64,numeric,13,99.9189,2,66.0,104.0,"66.0, 104.0"
RX7V3C1,,float64,numeric,839,94.7644,95,59.0,999.0,"60.0, 341.0, 59.0, 245.0, 69.0"
RX7V3C2,,float64,numeric,123,99.2324,21,174.0,461.0,"211.0, 198.0, 386.0, 385.0, 268.0"
RX7V3C3,,float64,numeric,39,99.7566,3,197.0,204.0,"204.0, 203.0, 197.0"
RX7V3C4,,float64,numeric,13,99.9189,2,205.0,445.0,"205.0, 445.0"
DRUGID8,,object,categorical/text,1067,93.3417,308,,,"d00325, d00089, d04050, d00170, d00059"
PRESCR8,,float64,numeric,1067,93.3417,4,1.0,5.0,"5.0, 1.0, 2.0, 3.0"
CONTSUB8,,float64,numeric,1067,93.3417,6,2.0,8.0,"6.0, 4.0, 2.0, 3.0, 7.0"
COMSTAT8,,float64,numeric,1067,93.3417,3,1.0,3.0,"1.0, 2.0, 3.0"
RX8CAT1,,float64,numeric,1067,93.3417,155,2.0,519.0,"272.0, 225.0, 341.0, 62.0, 109.0"
RX8CAT2,,float64,numeric,176,98.9017,41,12.0,519.0,"211.0, 385.0, 340.0, 129.0, 198.0"
RX8CAT3,,float64,numeric,23,99.8565,7,185.0,433.0,"203.0, 265.0, 433.0, 197.0, 204.0"
RX8V1C1,,float64,numeric,1067,93.3417,19,1.0,365.0,"87.0, 1.0, 242.0, 57.0, 105.0"
RX8V1C2,,float64,numeric,176,98.9017,15,1.0,358.0,"81.0, 40.0, 122.0, 57.0, 1.0"
RX8V1C3,,float64,numeric,23,99.8565,4,40.0,113.0,"57.0, 113.0, 40.0, 97.0"
RX8V2C1,,float64,numeric,1059,93.3916,100,2.0,999.0,"272.0, 13.0, 251.0, 58.0, 109.0"
RX8V2C2,,float64,numeric,176,98.9017,34,5.0,519.0,"83.0, 46.0, 340.0, 129.0, 65.0"
RX8V2C3,,float64,numeric,23,99.8565,6,64.0,433.0,"64.0, 265.0, 433.0, 65.0, 101.0"
RX8V3C1,,float64,numeric,607,96.2122,87,38.0,999.0,"225.0, 341.0, 62.0, 350.0, 229.0"
RX8V3C2,,float64,numeric,74,99.5382,19,62.0,444.0,"211.0, 385.0, 198.0, 388.0, 239.0"
RX8V3C3,,float64,numeric,17,99.8939,4,185.0,204.0,"203.0, 197.0, 204.0, 185.0"
DRUGID9,,object,categorical/text,832,94.8081,280,,,"d03157, d01231, d01021, d00438, d00049"
PRESCR9,,float64,numeric,832,94.8081,4,1.0,5.0,"1.0, 5.0, 2.0, 3.0"
CONTSUB9,,float64,numeric,832,94.8081,7,2.0,8.0,"6.0, 2.0, 4.0, 7.0, 5.0"
COMSTAT9,,float64,numeric,832,94.8081,3,1.0,3.0,"1.0, 2.0, 3.0"
RX9CAT1,,float64,numeric,832,94.8081,149,2.0,519.0,"208.0, 135.0, 95.0, 117.0, 59.0"
RX9CAT2,,float64,numeric,129,99.195,30,12.0,388.0,"146.0, 129.0, 198.0, 123.0, 117.0"
RX9CAT3,,float64,numeric,22,99.8627,5,185.0,433.0,"203.0, 197.0, 204.0, 185.0, 433.0"
RX9V1C1,,float64,numeric,832,94.8081,19,1.0,365.0,"242.0, 133.0, 87.0, 115.0, 57.0"
RX9V1C2,,float64,numeric,129,99.195,12,1.0,358.0,"133.0, 122.0, 57.0, 115.0, 218.0"
RX9V1C3,,float64,numeric,22,99.8627,3,40.0,97.0,"57.0, 97.0, 40.0"
RX9V2C1,,float64,numeric,830,94.8206,95,2.0,519.0,"249.0, 135.0, 95.0, 117.0, 58.0"
RX9V2C2,,float64,numeric,129,99.195,25,5.0,363.0,"146.0, 129.0, 65.0, 123.0, 117.0"
RX9V2C3,,float64,numeric,22,99.8627,4,64.0,433.0,"64.0, 65.0, 101.0, 433.0"
RX9V3C1,,float64,numeric,488,96.9548,87,32.0,502.0,"208.0, 59.0, 60.0, 164.0, 161.0"
RX9V3C2,,float64,numeric,70,99.5632,16,102.0,388.0,"198.0, 203.0, 386.0, 211.0, 102.0"
RX9V3C3,,float64,numeric,21,99.869,4,185.0,204.0,"203.0, 197.0, 204.0, 185.0"
DRUGID10,,object,categorical/text,646,95.9688,256,,,"d00015, d01024, d04048, d00273, d00438"
PRESCR10,,float64,numeric,646,95.9688,5,1.0,5.0,"5.0, 1.0, 2.0, 3.0, 4.0"
CONTSUB10,,float64,numeric,646,95.9688,7,1.0,7.0,"6.0, 2.0, 4.0, 3.0, 7.0"
COMSTAT10,,float64,numeric,646,95.9688,3,1.0,3.0,"1.0, 2.0, 3.0"
RX10CAT1,,float64,numeric,646,95.9688,132,2.0,519.0,"61.0, 95.0, 164.0, 117.0, 60.0"
RX10CAT2,,float64,numeric,109,99.3198,28,12.0,519.0,"129.0, 198.0, 123.0, 196.0, 127.0"
RX10CAT3,,float64,numeric,20,99.8752,6,197.0,430.0,"203.0, 197.0, 265.0, 430.0, 204.0"
RX10CAT4,,float64,numeric,6,99.9626,2,205.0,445.0,"205.0, 445.0"
RX10V1C1,,float64,numeric,646,95.9688,18,1.0,365.0,"57.0, 87.0, 133.0, 115.0, 1.0"
RX10V1C2,,float64,numeric,109,99.3198,13,1.0,242.0,"122.0, 57.0, 115.0, 113.0, 242.0"
RX10V1C3,,float64,numeric,20,99.8752,4,40.0,113.0,"57.0, 113.0, 40.0, 105.0"
RX10V1C4,,float64,numeric,6,99.9626,2,57.0,254.0,"57.0, 254.0"
RX10V2C1,,float64,numeric,645,95.975,84,2.0,519.0,"58.0, 95.0, 147.0, 117.0, 14.0"
RX10V2C2,,float64,numeric,109,99.3198,24,5.0,519.0,"129.0, 65.0, 123.0, 127.0, 117.0"
RX10V2C3,,float64,numeric,20,99.8752,5,64.0,430.0,"64.0, 65.0, 265.0, 430.0, 270.0"
RX10V2C4,,float64,numeric,6,99.9626,2,66.0,104.0,"66.0, 104.0"
RX10V3C1,,float64,numeric,353,97.7972,77,38.0,502.0,"61.0, 164.0, 60.0, 154.0, 347.0"
RX10V3C2,,float64,numeric,41,99.7441,12,186.0,389.0,"198.0, 196.0, 210.0, 385.0, 239.0"
RX10V3C3,,float64,numeric,14,99.9126,3,197.0,204.0,"203.0, 197.0, 204.0"
RX10V3C4,,float64,numeric,6,99.9626,2,205.0,445.0,"205.0, 445.0"
DRUGID11,,object,categorical/text,536,96.6552,225,,,"d05350, d04301, d03140, d01013, d04017"
PRESCR11,,float64,numeric,536,96.6552,4,1.0,5.0,"5.0, 1.0, 2.0, 3.0"
CONTSUB11,,float64,numeric,536,96.6552,7,2.0,8.0,"6.0, 4.0, 5.0, 2.0, 8.0"
COMSTAT11,,float64,numeric,536,96.6552,3,1.0,3.0,"1.0, 2.0, 3.0"
RX11CAT1,,float64,numeric,536,96.6552,129,2.0,519.0,"95.0, 164.0, 120.0, 156.0, 119.0"
RX11CAT2,,float64,numeric,79,99.507,31,12.0,442.0,"385.0, 203.0, 129.0, 239.0, 378.0"
RX11CAT3,,float64,numeric,10,99.9376,6,197.0,433.0,"270.0, 203.0, 197.0, 204.0, 265.0"
RX11CAT4,,float64,numeric,2,99.9875,2,205.0,445.0,"445.0, 205.0"
RX11V1C1,,float64,numeric,536,96.6552,18,1.0,365.0,"87.0, 133.0, 115.0, 40.0, 105.0"
RX11V1C2,,float64,numeric,79,99.507,12,1.0,254.0,"40.0, 57.0, 122.0, 1.0, 105.0"
RX11V1C3,,float64,numeric,10,99.9376,4,40.0,113.0,"105.0, 57.0, 113.0, 40.0"
RX11V1C4,,float64,numeric,2,99.9875,2,57.0,254.0,"254.0, 57.0"
RX11V2C1,,float64,numeric,534,96.6677,80,2.0,519.0,"95.0, 147.0, 120.0, 49.0, 119.0"
RX11V2C2,,float64,numeric,79,99.507,27,5.0,378.0,"46.0, 64.0, 129.0, 5.0, 378.0"
RX11V2C3,,float64,numeric,10,99.9376,5,64.0,433.0,"270.0, 64.0, 65.0, 265.0, 433.0"
RX11V2C4,,float64,numeric,2,99.9875,2,66.0,104.0,"104.0, 66.0"
RX11V3C1,,float64,numeric,316,98.0281,77,59.0,999.0,"164.0, 156.0, 274.0, 69.0, 61.0"
RX11V3C2,,float64,numeric,35,99.7816,15,180.0,442.0,"385.0, 203.0, 239.0, 210.0, 389.0"
RX11V3C3,,float64,numeric,7,99.9563,3,197.0,204.0,"203.0, 197.0, 204.0"
RX11V3C4,,float64,numeric,2,99.9875,2,205.0,445.0,"445.0, 205.0"
DRUGID12,,object,categorical/text,460,97.1295,204,,,"d01013, d03137, d00438, d00278, d04697"
PRESCR12,,float64,numeric,460,97.1295,5,1.0,5.0,"5.0, 2.0, 1.0, 3.0, 4.0"
CONTSUB12,,float64,numeric,460,97.1295,6,1.0,7.0,"6.0, 2.0, 4.0, 7.0, 1.0"
COMSTAT12,,float64,numeric,460,97.1295,3,1.0,3.0,"1.0, 2.0, 3.0"
RX12CAT1,,float64,numeric,460,97.1295,115,2.0,519.0,"95.0, 120.0, 117.0, 103.0, 215.0"
RX12CAT2,,float64,numeric,65,99.5944,25,12.0,460.0,"129.0, 210.0, 198.0, 203.0, 192.0"
RX12CAT3,,float64,numeric,6,99.9626,3,197.0,270.0,"203.0, 270.0, 197.0"
RX12CAT4,,float64,numeric,2,99.9875,2,205.0,445.0,"445.0, 205.0"
RX12V1C1,,float64,numeric,460,97.1295,18,1.0,365.0,"87.0, 115.0, 97.0, 358.0, 242.0"
RX12V1C2,,float64,numeric,65,99.5944,11,1.0,242.0,"122.0, 242.0, 57.0, 105.0, 81.0"
RX12V1C3,,float64,numeric,6,99.9626,2,57.0,105.0,"57.0, 105.0"
RX12V1C4,,float64,numeric,2,99.9875,2,57.0,254.0,"254.0, 57.0"
RX12V2C1,,float64,numeric,458,97.142,80,2.0,999.0,"95.0, 120.0, 117.0, 103.0, 99.0"
RX12V2C2,,float64,numeric,65,99.5944,21,5.0,460.0,"129.0, 251.0, 65.0, 64.0, 192.0"
RX12V2C3,,float64,numeric,6,99.9626,3,64.0,270.0,"64.0, 270.0, 65.0"
RX12V2C4,,float64,numeric,2,99.9875,2,66.0,104.0,"104.0, 66.0"
RX12V3C1,,float64,numeric,247,98.4587,62,59.0,473.0,"215.0, 306.0, 60.0, 138.0, 290.0"
RX12V3C2,,float64,numeric,28,99.8253,12,196.0,386.0,"210.0, 198.0, 203.0, 211.0, 385.0"
RX12V3C3,,float64,numeric,5,99.9688,2,197.0,203.0,"203.0, 197.0"
RX12V3C4,,float64,numeric,2,99.9875,2,205.0,445.0,"445.0, 205.0"
DRUGID13,,object,categorical/text,387,97.585,188,,,"d03129, d05350, d07921, d04538, d00328"
PRESCR13,,float64,numeric,387,97.585,3,1.0,5.0,"5.0, 1.0, 2.0"
CONTSUB13,,float64,numeric,387,97.585,5,2.0,7.0,"6.0, 4.0, 2.0, 5.0, 7.0"
COMSTAT13,,float64,numeric,387,97.585,3,1.0,3.0,"1.0, 2.0, 3.0"
RX13CAT1,,float64,numeric,387,97.585,112,2.0,519.0,"119.0, 95.0, 453.0, 215.0, 264.0"
RX13CAT2,,float64,numeric,69,99.5694,28,12.0,519.0,"129.0, 299.0, 53.0, 385.0, 210.0"
RX13CAT3,,float64,numeric,7,99.9563,4,197.0,270.0,"270.0, 203.0, 265.0, 197.0"
RX13CAT4,,float64,numeric,3,99.9813,2,205.0,445.0,"445.0, 205.0"
RX13V1C1,,float64,numeric,387,97.585,19,1.0,365.0,"115.0, 87.0, 133.0, 358.0, 113.0"
RX13V1C2,,float64,numeric,69,99.5694,14,1.0,358.0,"122.0, 40.0, 242.0, 115.0, 97.0"
RX13V1C3,,float64,numeric,7,99.9563,3,57.0,113.0,"105.0, 57.0, 113.0"
RX13V1C4,,float64,numeric,3,99.9813,2,57.0,254.0,"254.0, 57.0"
RX13V2C1,,float64,numeric,385,97.5975,72,2.0,519.0,"119.0, 95.0, 136.0, 99.0, 264.0"
RX13V2C2,,float64,numeric,69,99.5694,25,12.0,519.0,"129.0, 125.0, 53.0, 46.0, 251.0"
RX13V2C3,,float64,numeric,7,99.9563,4,64.0,270.0,"270.0, 64.0, 265.0, 65.0"
RX13V2C4,,float64,numeric,3,99.9813,2,66.0,104.0,"104.0, 66.0"
RX13V3C1,,float64,numeric,210,98.6895,69,59.0,475.0,"453.0, 215.0, 164.0, 299.0, 345.0"
RX13V3C2,,float64,numeric,29,99.819,11,185.0,389.0,"299.0, 385.0, 210.0, 388.0, 185.0"
RX13V3C3,,float64,numeric,5,99.9688,2,197.0,203.0,"203.0, 197.0"
RX13V3C4,,float64,numeric,3,99.9813,2,205.0,445.0,"445.0, 205.0"
DRUGID14,,object,categorical/text,324,97.9782,168,,,"d00413, d00170, d00134, d03821, d00689"
